DeFi Application,Attack Time,Chain,Transaction Hash
bZx,2020/02/18,ETH,0x762881b07feb63c436dee38edd4ff1f7a74c33091e534af56c9f7d49b5ecac15
Eminence,2020/09/29,ETH,0x045b60411af18114f1986957a41296ba2a97ccff75a9b38af818800ea9da0b2a
Harvest,2020/10/26,ETH,0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877
CheeseBank,2020/11/06,ETH,0x600a869aa3a259158310a233b815ff67ca41eab8961a49918c2031297a02f1cc
ValueDeFi,2020/11/14,ETH,0x46a03488247425f845e444b9c10b52ba3c14927c687d38287c0faddc7471150a
WarpFinance,2020/12/17,ETH,0x8bb8dc5c7c830bac85fa48acad2505e9300a91c3ff239c9517d0cae33b595090
PancakeBunny,2021/05/19,BSC,0x897c2de73dd55d7701e1b69ffb3a17b0f4801ced88b0c75fe1551c5fcce6a979
AutoShark,2021/05/24,BSC,0xfbe65ad3eed6b28d59bf6043debf1166d3420d214020ef54f12d2e0583a66f13
BeltFinance,2021/05/29,BSC,0xf598e092ab82ce08798f9dab7ea6ade64f152aa91db897f3449b23ab591baa1d
ApeRocket,2021/07/14,BSC,0x701a308fba23f9b328d2cdb6c7b245f6c3063a510e0d5bc21d2477c9084f93e0
PancakeBunny,2021/07/16,POL,0x25e5d9ea359be7fc50358d18c2b6d429d27620fe665a99ba7ad0ea460e50ae55
SanshuInu,2021/07/20,ETH,0x00edd68087ee372a1b6e05249cc6c992bb7b8478cc0ddc70c2a1453428285808
DotFinance,2021/08/25,BSC,0x68170a309ab2e944e178ccf9bf6f19e25a3f356031ce53539bb9669fc77172f2
PancakeHunny,2021/10/20,BSC,0x1b698231965b72f64d55c561634600b087154f71bc73fc775622a45112a94a77
CreamFinance,2021/10/27,ETH,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92
OneRing,2022/03/21,FTM,0xca8dd33850e29cf138c8382e17a19e77d7331b57c7a8451648788bbb26a70145
GYMNetwork,2022/04/09,BSC,0xa5b0246f2f8d238bb56c0ddb500b04bbe0c30db650e06a41e00b6a0fff11a7e5
ElephantMoney,2022/04/12,BSC,0xec317deb2f3efdc1dbf7ed5d3902cdf2c33ae512151646383a8cf8cbcd3d4577
RikkeiFinance,2022/04/15,BSC,0x93a9b022df260f1953420cd3e18789e7d1e095459e36fe2eb534918ed1687492
WienerDOGE,2022/04/25,BSC,0x4f2005e3815c15d1a9abd8588dd1464769a00414a6b7adcbfd75a5331d378e1d
Fortress,2022/05/08,BSC,0x13d19809b19ac512da6d110764caee75e2157ea62cb70937c8d9471afcb061bf
Hackerdao,2022/05/24,BSC,0x04673c95054247588bb8380dbc7d361f08f8f0baa319366f48ad46e51d08422d
NOVO,2022/05/29,BSC,0x23fd14a46b539c81ca4491a577de118925d9339a63fcf4c8a3ff36c14d6cec35
Discover,2022/06/06,BSC,0x8a33a1f8c7af372a9c81ede9e442114f0aabb537e5c3a22c0fd7231c4820f1e9
Equalizer,2022/06/07,POL,0x60efddd55e899e66f4cb31e766c2a09d9c510956d057025df5bfd7a9dd722175
InverseFinance,2022/06/16,ETH,0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c
