DeFi Application,Address,Chain
MiniSwap,0x4d953cf077c0c95ba090226e59a18fcf97db44ec,ETH
Mushrooms Finance,0xa283aa7cfbb27ef0cfbcb2493dd9f4330e0fd304,ETH
Solana Farm,0xFEa6aB80cd850c3e63374Bc737479aeEC0E8b9a1,BSC
Morpheus Swap,0xB66b5D38E183De42F21e92aBcAF3c712dd5d6286,Fantom
QAO,0x3402e15b3ea0f1aec2679c4be4c6d051cef93953,ETH
Nidhi-Dao,0x057E0bd9B797f9Eeeb8307B35DbC8c12E534c41E,Polygon
Paladin Finance,0xAB846Fb6C81370327e784Ae7CbB6d6a6af6Ff4BF,ETH
Changex,0x7051faed0775f664a0286af4f75ef5ed74e02754,ETH
AutoShark,0xdd97ab35e3c0820215bc85a395e13671d84ccba2,BSC
Chad Finance,0xcce93540b80abf71b66e0a44fd71e322ce9c4d9e,Fantom
Ribbon,0x6123b0049f904d730db3c36a31167d9d4121fa6b,ETH
Frax,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,ETH
Swipe,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,ETH
Merlin,0xDA360309C59CB8C434b28A91b823344a96444278,BSC
BSCStation,0xbcb24AFb019BE7E93EA9C43B7E22Bb55D5B7f45D,BSC
FlokiFi Locker,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,ETH
Rubic,0xa4eed63db85311e22df4473f87ccfc3dadcfa3e3,ETH
Bagels Finance,0xbb238fce6e2ee90781cd160c9c6eaf3a4cfad801,BSC
PolyDEX-Cryption Network,0xd1e6354fb05bf72a8909266203dab80947dceccf,Polygon
Pls2e,0x7f9C20c4C09c32478AE10A7543E5199C2F53691d,BSC
ACoconut,0x5B45A9be49c94236E127EFCc601b7e7a1a485d0a,BSC
Dark Matter,0x90e892fed501ae00596448aecf998c88816e5c0f,Fantom
Blitz Labs,0xF376807DcdbAa0d7FA86E7c9EAcC58d11ad710E4,BSC
Based Next Generation,0x1539C63037D95f84A5981F96e43850d1451b6216,Fantom
BSCSwap,0xacc234978a5eb941665fd051ca48765610d82584,BSC
Knit Finance,0xEF53462838000184F35f7D991452e5f25110b207,ETH
Polyroll,0xc68e83a305b0fad69e264a1769a0a070f190d2d6,Polygon
Base Protocol,0x07150e919b4de5fd6a63de1f9384828396f25fdc,ETH
Ultra Protocol,0x0b3f42481c228f70756dbfa0309d3ddc2a5e0f6a,BSC
Gravity Finance,0x874e178a2f3f3f9d34db862453cd756e7eab0381,Polygon
LowcostSwap,0xDBfe47255CbA4A7623985444E730719E9F958E67,BSC
Spiral Finance,0x8C739564345DfCb7e4C7e520B0E8fA142c358a78,Fantom
Proxy,0xab3d689c22a2bb821f50a4ff0f21a7980dcb8591,Polygon
Ottopia,0xC250e9987A032ACAC293d838726C511E6E1C029d,Polygon
ChargeDeFi,0x1C6bc8e962427dEb4106aE06A7fA2d715687395c,BSC
Typhoon Cash,0x79256db1bdb6259315a1a3d7dd237f69cadfd8fc,ETH
EvolutionLand,0x9f284e1337a815fe77d2ff4ae46544645b20c5ff,ETH
Tenet,0x74159651a992952e2bf340d7628459aa4593fc05,ETH
KokomoSwap,0x9a7B87651C6C93cedb831B2B3b5549142a813Cfe,BSC
BarnBridge,0x0391D2021f89DC339F60Fff84546EA23E337750f,ETH
Oddz,0xcd2828fc4d8e8a0ede91bb38cf64b1a81de65bf6,ETH
Cake Monster,0x8a5d7fcd4c90421d21d30fcc4435948ac3618b2f,BSC
Gale,0x627E86E9eC832b59018Bf91456599e752288Aa97,BSC
